ci_code,ci_description
384131,Hamstring Mid Semitendinosus Strain - 1st Degree
384132,Hamstring Mid Semimembranosus Strain - 1st Degree
384133,Thigh Biceps Femoris Strain/Medial Belly
384140,Thigh Hamstring Strain/Lateral Belly 1 Deg
384141,Hamstring Mid Biceps Femoris Strain - 1st Degree
384200,Thigh Muscle Strain/Belly 2 Deg
384210,Thigh Quads Strain/Belly 2 Deg
384211,Thigh Vastus Lateralis Strain 2 Deg
384212,Thigh Vastus Intrmedius Strain 2 Deg
384213,Thigh Vastus Medialis Strain 2 Deg
384214,Thigh Rectus Femoris Strain 2 Deg
384220,Thigh Adductor Strain/Belly 2 Deg
384221,Thigh Adductor Longus Strain/Belly 2 Deg
384222,Thigh Adductor Brevis Strain/Belly 2 Deg
384223,Thigh Adductor Magnus Strain/Belly 2 Deg
384230,Thigh/Muscle Belly Hamstring Strain Deg 2 / Muscle Unknown
384231,Hamstring Mid Semitendinosus Strain - 2nd Degree
384232,Hamstring Mid Semimembranosus Strain - 2nd Degree
384240,Thigh Hamstring Strain/Lateral Belly 2 Deg
384241,Hamstring Mid Biceps Femoris Strain - 2nd Degree
384300,Thigh Muscle Strain/Belly 3 Deg (Complete Tear)
384310,Thigh Quads Strain/Belly 3 Deg
384311,Thigh Vastus Lateralis Strain3 Deg
384312,Thigh Vastus Intrmedius Strain3 Deg
384313,Thigh Vastus Medialis Strain 3 Deg
384314,Thigh Rectus Femoris Strain 3 Deg
384320,Thigh Adductor Strain/Belly 3 Deg
384321,Thigh Adductor Longus Strain/Belly 3 Deg
384322,Thigh Adductor Brevis Strain/Belly 3 Deg
384323,Thigh Adductor Magnus Strain/Belly 3 Deg
384330,Thigh/Muscle Belly Hamstring Strain Deg 3 (Avulsion or Complete Tear) / Muscle Unknown
384331,Hamstring Semitendinosus Rupture/Complete Tear - Central
384332,Hamstring Semimembranosus Rupture/Complete Tear - Central
384340,Thigh Hamstring Strain/Lateral Belly 3 Deg
384341,Hamstring Biceps Femoris Rupture/Complete Tear - Central
384351,Hamstring Biceps Femoris Strain - Central
384352,Hamstring Semitendinosus Strain - Central
384353,Hamstring Semimembranosus Strain - Central
384410,Thigh Quads Strain/Tendon Avulsion
384414,Thigh Rectus Femoris/Avulsion
384505,Knee Quadriceps Tendon Partial Tear
384510,Knee Quadriceps Tendon Avulsion/Rupture/Complete Tear
384573,Thigh Vastus Medialis/severed
404010,Knee Quadriceps Strain/Distal
404020,Knee Adductor Strain - Distal
404021,Knee Gracilis Strain - Distal
404030,Hamstring Unknown Muscle Strain - Distal
404040,Knee Lateral Hamstring Strain/Distal
404043,Knee Biceps Femoris Strain/Distal
404110,Knee Quadriceps Strain/Distal 1 Deg
404120,Knee Adductor Strain/Distal 1 Deg
404130,Knee/Distal Hamstring Strain 1 Deg / Muscle Unknown
404140,Knee Lateral Hamstring Strain/Distal 1 Deg
404143,Hamstring Distal Biceps Femoris Strain - 1st Degree
404144,Hamstring Distal Semitendinosus Strain - 1st Degree
404145,Hamstring Distal Semimembranosus Strain - 1st Degree
404210,Knee Quadriceps Strain/Distal - Partial
404220,Knee Adductor Strain/Distal 2 Deg
404230,Knee/Distal Hamstring Strain 2 Deg / Muscle Unknown
404240,Knee Lateral Hamstring Strain/Distal 2 Deg
404280,Hamstring Distal Biceps Femoris Strain - 2nd Degree
404281,Hamstring Distal Semitendinosus Strain - 2nd Degree
404282,Hamstring Distal Semimembranosus Strain - 2nd Degree
404310,Knee Quadriceps Avulsion/Rupture/Complete Tear - Distal
404320,Knee Adductor Strain/Distal 3 Deg
404330,Knee/Distal Hamstring Strain 3 Deg (Avulsion or Complete Tear) / Muscle Unknown
404340,Knee Lateral Hamstring Strain/Distal 3 Deg (Complete Tear)
404341,Hamstring Biceps Femoris Strain - Distal
404342,Hamstring Semitendinosus Strain - Distal
404343,Hamstring Semimembranosus Strain - Distal
404380,Hamstring Biceps Femoris Avulsion/Rupture/Complete Tear- Distal
404381,Hamstring Semitendinosus Avulsion/Rupture/Complete Tear - Distal
404382,Hamstring Semimembranosus Avulsion/Rupture/Complete Tear - Distal
404410,Knee Quadriceps Avulsion/Distal
404420,Knee Adductor Avulsion/Rupture/Complete Tear - Distal
404430,Knee Medial Hamstring Avulsion/Distal
404440,Knee Lateral Hamstring Avulsion/Distal
404530,Knee Hamstring Tendon Severance/Medial/Post
434001,Calf Plantaris Strain
434002,Calf Gastrocnemius Strain
434003,Calf Soleus Strain
434102,Fibula Gastrocnemius Strain 1 Deg
434103,Fibula Soleus Strain 1 Deg
434202,Fibula Gastrocnemius Strain 2 Deg
434203,Fibula Soleus Strain 2 Deg
434302,Fibula Gastrocnemius Strain 3 Deg
434303,Fibula Soleus Strain 3 Deg
434500,Calf Gastrocnemius Avulsion/Rupture/Complete Tear
